bar_attire,bar_bestnights,bar_category,bar_dancing,bar_happy,bar_name,bar_nhood,bar_outdoor,bar_parking,bar_phone,bar_reservations,bar_tv,bar_wheelchair,creditCard,num_reviews,num_stars,price_range
N/A,"Wed, Fri, Sat",Irish Pub,Yes,Yes,The Late Late,Lower East Side,No,N/A,(212) 633-2000,Yes,No,N/A,Yes,106,3.5,$$
N/A,"Wed, Fri, Sat",Cocktail Bars,No,N/A,Carnegie Club,Midtown West,No,Street,(212) 957-9676,Yes,Yes,N/A,Yes,190,4,$$$
N/A,"Fri, Sat, Sun",Bars,No,Yes,Livingston Manor,"Boerum Hill, Downtown Brooklyn",Yes,Street,(347) 987-3292,No,No,Yes,Yes,100,4,$$
N/A,N/A,Lounges,N/A,N/A,Bar Felice,"Yorkville, Upper East Side",Yes,N/A,(212) 249-4080,Yes,Yes,N/A,Yes,25,3.5,$$$
Dressy,N/A,American (New),N/A,N/A,Brandy Library,TriBeCa,Yes,Street,(212) 226-5545,Yes,No,N/A,Yes,545,4,$$$
Casual,"Fri, Sat, Sun",Irish,No,N/A,O’Lunney’s,"Theater District, Midtown West",No,Street,(212) 840-6688,Yes,Yes,N/A,Yes,328,4,$$
Casual,"Tue, Wed, Fri",Cocktail Bars,No,Yes,The Happiest Hour,West Village,No,Street,(212) 243-2827,Yes,Yes,N/A,Yes,283,3,$$
N/A,N/A,Lounges,N/A,N/A,Dutch Kills,Long Island City,No,Street,(718) 383-2724,No,No,N/A,Yes,695,4,$$
Casual,"Wed, Fri, Sat",Cajun/Creole,No,Yes,Infirmary,"Yorkville, Upper East Side",No,Street,(917) 388-2512,Yes,Yes,Yes,Yes,454,4,$$
N/A,N/A,Bars,N/A,Yes,Weather Up,TriBeCa,No,Street,(212) 766-3202,Yes,No,N/A,Yes,150,3.5,$$$
Casual,"Thu, Fri, Sat",German,No,N/A,Bierhaus NYC,Midtown East,Yes,"Garage, Street",(212) 867-2337,Yes,Yes,N/A,Yes,597,3.5,$$
N/A,N/A,Dive Bars,N/A,N/A,The Green Door,"Hell's Kitchen, Midtown West",No,N/A,(212) 974-3169,No,Yes,N/A,No,11,2.5,$$$
Dressy,N/A,Bars,N/A,N/A,The Crosby Bar,SoHo,Yes,Valet,(212) 226-6400,Yes,No,N/A,Yes,136,3.5,$$$
N/A,Sat,Cocktail Bars,No,Yes,The Moonlight Mile,Greenpoint,Yes,Street,(718) 389-3904,No,No,Yes,Yes,61,5,$$
N/A,N/A,Venues & Event Spaces,N/A,Yes,The Wooly,"Civic Center, Financial District, TriBeCa",No,N/A,(212) 571-2930,Yes,No,N/A,Yes,66,4,$$
Casual,"Wed, Thu, Sun",American (New),No,Yes,White Oak Tavern,Greenwich Village,No,Street,(212) 260-2604,Yes,Yes,Yes,Yes,269,4,$$
Casual,N/A,American (New),No,Yes,Clay,Harlem,No,N/A,(212) 729-1850,Yes,No,N/A,Yes,102,4.5,$$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,No,Garfunkel’s,Lower East Side,No,Street,(212) 529-6900,Yes,No,No,Yes,154,4.5,$$
N/A,"Thu, Fri, Sat",Bars,N/A,N/A,Black Door,Chelsea,No,Street,(212) 645-0215,N/A,No,N/A,Yes,152,3.5,$$
N/A,N/A,Bars,No,N/A,Dick and Jane’s,Fort Greene,No,Street,(347) 739-1027,No,No,N/A,Yes,100,4,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,No,Ghost Donkey,NoHo,No,Street,(212) 254-0350,No,No,Yes,Yes,85,3.5,$$
N/A,N/A,Bars,N/A,N/A,Gibson and Luce,"Koreatown, Midtown West",N/A,N/A,(212) 615-9910,No,N/A,N/A,N/A,16,4.5,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,No,Yves,TriBeCa,Yes,Street,(212) 431-3385,Yes,No,Yes,Yes,42,4,$$
Casual,"Thu, Fri, Sat",Bars,No,No,The Wren,"NoHo, East Village",No,Street,(212) 388-0148,Yes,No,Yes,Yes,469,4,$$
N/A,"Thu, Fri, Sat",Lounges,No,Yes,Lovers of Today,"East Village, Alphabet City",No,Street,(212) 420-9517,No,No,N/A,Yes,227,4,$$
Dressy,N/A,American (New),No,Yes,The Harrow New York,"Hell's Kitchen, Midtown West",No,Street,(212) 757-6977,Yes,No,N/A,Yes,83,4.5,$$
N/A,"Thu, Fri, Sat",Pubs,No,Yes,Reif’s Tavern,"Yorkville, Upper East Side",Yes,Street,(212) 426-0519,No,Yes,No,Yes,45,4,$
N/A,"Thu, Fri, Sat",Irish Pub,No,Yes,Hudson Hound,West Village,Yes,Street,(212) 796-6213,Yes,Yes,No,Yes,81,4,$$
N/A,"Wed, Thu, Fri",Venues & Event Spaces,Yes,Yes,310 Bowery Bar,"NoHo, East Village",No,N/A,(212) 477-1166,Yes,Yes,Yes,Yes,101,3.5,$$
N/A,N/A,Lounges,N/A,N/A,48 Lounge,"Theater District, Midtown West",No,Street,(212) 554-4848,Yes,Yes,N/A,Yes,190,3.5,$$$
Casual,"Wed, Thu, Fri",Gastropubs,No,Yes,The Malt House,Financial District,No,Street,(646) 682-7577,Yes,Yes,N/A,Yes,382,4,$$
N/A,N/A,Pubs,N/A,N/A,Lily’s Bar,Midtown East,N/A,N/A,(212) 838-0844,Yes,N/A,N/A,Yes,5,3,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,67 Orange Street,Harlem,No,Street,(212) 662-2030,Yes,No,N/A,Yes,335,4,$$
N/A,Sat,Cocktail Bars,Yes,Yes,ER Bar And Lounge,"Murray Hill, Kips Bay, Midtown East",No,N/A,(917) 388-2923,No,Yes,N/A,Yes,48,4,$$
N/A,N/A,Wine Bars,N/A,Yes,Bar Veloce,West Village,Yes,N/A,(212) 933-4973,N/A,N/A,N/A,Yes,8,5,$$
N/A,"Thu, Fri, Sat",Music Venues,Yes,N/A,Bar Nine,"Hell's Kitchen, Theater District, Midtown West",No,Street,(212) 399-9336,Yes,Yes,N/A,Yes,294,3.5,$$
N/A,"Thu, Fri, Sat",Lounges,N/A,Yes,Greenwich Treehouse,West Village,No,Street,(212) 675-0395,No,Yes,No,Yes,269,3.5,$
Casual,"Thu, Fri, Sat",Pubs,N/A,N/A,Amsterdam Ale House,Upper West Side,Yes,Street,(212) 362-7260,Yes,Yes,N/A,Yes,333,3,$$
N/A,N/A,Bars,No,Yes,Drop Off Service,"East Village, Alphabet City",No,Street,(212) 260-2914,No,No,N/A,Yes,288,4,$
Casual,N/A,Pubs,N/A,Yes,Landmark Tavern,"Hell's Kitchen, Midtown West",No,Street,(212) 247-2562,Yes,Yes,N/A,Yes,250,4,$$
N/A,N/A,Sports Bars,N/A,N/A,American Trash,"Upper East Side, Yorkville",No,Valet,(212) 988-9008,No,Yes,N/A,No,96,4,$
Casual,N/A,Bars,No,Yes,Gin Parlour,Midtown East,No,N/A,(212) 755-5900,Yes,Yes,N/A,Yes,24,3.5,$$
Casual,"Thu, Fri, Sat",Bars,No,N/A,Reichenbach Hall,Midtown West,No,Street,(212) 302-7744,Yes,Yes,N/A,Yes,620,4,$$
N/A,N/A,Japanese,N/A,N/A,Toriko NY,West Village,N/A,N/A,(646) 596-8198,N/A,N/A,N/A,N/A,8,4,$$$
Casual,Sat,Mexican,No,Yes,Barnacho,Midtown East,Yes,"Garage, Street",(212) 832-9426,No,Yes,Yes,Yes,136,4,$$
N/A,"Fri, Sat, Sun",Cocktail Bars,No,Yes,Kobrick Coffee,"Meatpacking District, West Village",Yes,N/A,(212) 255-5588,Yes,No,N/A,Yes,276,4.5,$$
N/A,N/A,Beer Bar,No,Yes,Harlem Hops,Harlem,Yes,Street,(646) 998-3444,No,Yes,Yes,Yes,55,4.5,$$
Casual,"Thu, Fri, Sat",American (New),No,N/A,Trinity Place,Financial District,No,Street,(212) 964-0939,Yes,Yes,N/A,Yes,308,4,$$
N/A,N/A,Bars,No,N/A,The Black Hound,Battery Park,No,Garage,(212) 945-0562,No,Yes,N/A,Yes,65,3.5,$$
Casual,N/A,American (New),No,No,Sugar Momma,Financial District,Yes,Garage,(212) 602-9991,Yes,Yes,Yes,Yes,33,4.5,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,N/A,N/A,Analogue,Greenwich Village,No,Street,(212) 432-0200,Yes,No,N/A,Yes,223,4,$$$
Casual,"Thu, Fri, Sat",American (Traditional),No,N/A,Trading Post,South Street Seaport,Yes,Street,(646) 370-3337,Yes,Yes,N/A,Yes,344,4,$$
Casual,N/A,American (Traditional),No,N/A,Woodrow’s,TriBeCa,No,Garage,(212) 676-0300,Yes,Yes,N/A,Yes,299,4,$$
Casual,"Thu, Fri, Sat",Sports Bars,N/A,N/A,The Junction,"Murray Hill, Midtown East",No,Street,(212) 682-7700,No,Yes,N/A,Yes,144,4,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,Yes,Yes,Mr Jones,South Village,No,N/A,(212) 842-4566,Yes,Yes,Yes,Yes,12,3.5,$$
N/A,N/A,American (New),N/A,N/A,Market Hall,South Street Seaport,N/A,N/A,(212) 732-8257,Yes,N/A,N/A,Yes,5,3,$$
Casual,N/A,Cocktail Bars,No,Yes,SuperNova,"Theater District, Midtown West",Yes,Street,(646) 459-5820,Yes,Yes,Yes,Yes,91,3.5,$$
Dressy,"Wed, Fri, Sat",Lounges,No,No,The Bar Room,Midtown West,No,"Garage, Street",(212) 333-1220,Yes,No,Yes,Yes,441,4,$$$
N/A,"Wed, Thu, Fri",Lounges,No,Yes,The West End,Manhattan Valley,Yes,N/A,(212) 531-4759,No,Yes,No,Yes,73,3.5,$$
N/A,N/A,Cocktail Bars,N/A,N/A,RARE View Rooftop,"Murray Hill, Midtown East",Yes,"Garage, Street",(212) 481-1999,Yes,Yes,Yes,Yes,155,3.5,$$
Casual,N/A,Gastropubs,No,Yes,Highlands NYC,West Village,No,Street,(212) 229-2670,Yes,No,Yes,Yes,374,4,$$
N/A,N/A,Karaoke,No,Yes,MUSES 35,Midtown West,No,Street,(646) 669-8050,Yes,Yes,Yes,Yes,13,4,$$
N/A,Tue,Lounges,Yes,No,The Blond,SoHo,No,N/A,(212) 235-1111,Yes,No,Yes,Yes,60,2.5,$$$
Casual,"Thu, Fri, Sat",Italian,No,N/A,Sofia Wine Bar,Midtown East,No,"Garage, Street",(212) 888-8660,No,No,N/A,Yes,585,4,$$
N/A,N/A,Lounges,Yes,Yes,The Empire Rooftop,Upper West Side,Yes,N/A,(212) 265-2600,Yes,Yes,N/A,Yes,28,3.5,$$$
N/A,N/A,Dive Bars,N/A,Yes,B Side,"East Village, Alphabet City",No,Street,(212) 475-4600,No,Yes,N/A,Yes,91,4,$
Casual,"Thu, Fri, Sat",Korean,No,N/A,Bangia,Midtown East,No,Street,(212) 679-6790,Yes,Yes,N/A,Yes,275,4,$$
N/A,N/A,"Beer, Wine & Spirits",No,Yes,The Gordon Bar,South Village,Yes,N/A,(212) 219-3200,Yes,No,N/A,Yes,13,2.5,$$$
Casual,"Thu, Fri, Sat",Southern,No,Yes,Printers Alley,"Midtown West, Theater District",Yes,Street,(212) 419-2770,Yes,Yes,Yes,Yes,67,3.5,$$
N/A,N/A,Wine Bars,N/A,Yes,Bar Veloce,"Hell's Kitchen, Midtown West",N/A,N/A,(917) 261-5435,N/A,N/A,N/A,N/A,3,2.5,$$
Casual,N/A,Sports Bars,Yes,Yes,Stax Sports Bar,"Upper East Side, Yorkville",No,"Street, Private Lot",(646) 998-3560,Yes,Yes,Yes,Yes,56,4.5,$$
N/A,"Mon, Tue, Thu",Dive Bars,N/A,Yes,1020 Bar,Manhattan Valley,No,Street,(212) 531-3468,No,Yes,Yes,Yes,122,3.5,$
N/A,N/A,Venues & Event Spaces,N/A,N/A,The Red Room,East Village,N/A,N/A,(212) 777-6088,N/A,N/A,N/A,Yes,12,4,$$
Casual,"Thu, Fri, Sat",Cocktail Bars,No,N/A,The Summit Bar,"Alphabet City, East Village",Yes,Street,(347) 465-7911,Yes,No,N/A,Yes,380,4,$$
N/A,N/A,Sushi Bars,N/A,Yes,Minami Lounge,Williamsburg - South Side,Yes,N/A,(917) 909-1896,Yes,Yes,Yes,Yes,12,4.5,$$
N/A,N/A,Cigar Bars,N/A,N/A,Grand Havana Room,Midtown West,N/A,Garage,(212) 245-1600,Yes,Yes,N/A,Yes,52,4,$$$$
N/A,"Thu, Fri, Sat",Cocktail Bars,No,Yes,Diamond Dogs,Astoria,Yes,Street,(929) 522-0061,No,No,N/A,Yes,118,4,$$
Casual,"Fri, Sat, Sun",Speakeasies,No,N/A,Chumley’s,West Village,No,Street,(212) 675-2081,Yes,No,N/A,Yes,166,3.5,$$$
Casual,N/A,Southern,No,Yes,Mr White,"East Village, Alphabet City",No,N/A,(212) 510-7229,Yes,No,Yes,Yes,81,4.5,$$
Casual,"Wed, Fri, Sat",Japanese,No,Yes,Tomi Jazz,Midtown East,No,Street,(646) 497-1254,Yes,No,N/A,Yes,323,4,$$
Casual,N/A,Bars,Yes,Yes,Island Oyster,South Village,Yes,N/A,(917) 268-0200,No,No,Yes,Yes,50,3.5,$$
Casual,"Mon, Wed, Fri",Wine Bars,No,Yes,Wined Up,Flatiron,No,"Garage, Street",(212) 673-6333,Yes,Yes,Yes,Yes,115,4,$$
Casual,N/A,American (New),No,Yes,Maysville,Flatiron,No,"Garage, Street",(646) 490-8240,Yes,No,Yes,Yes,516,4,$$$
N/A,Sat,Cocktail Bars,No,Yes,Robert,Boerum Hill,Yes,Street,(347) 853-8687,No,No,Yes,Yes,43,4,$$
N/A,N/A,Bars,N/A,Yes,The Trump Bar,"Midtown East, Midtown West",No,N/A,(212) 836-3200,No,Yes,N/A,Yes,33,3.5,$$$
N/A,N/A,Pizza,No,Yes,The Woodstock,"Meatpacking District, West Village",No,N/A,(212) 633-2000,Yes,No,N/A,Yes,46,3.5,$$
Casual,"Thu, Fri, Sat",Pubs,No,N/A,Pig ‘N’ Whistle,Midtown East,Yes,"Garage, Street",(212) 688-4646,Yes,Yes,N/A,Yes,234,3.5,$$
Casual,Fri,American (New),N/A,Yes,American Whiskey,Midtown West,No,Street,(212) 967-1070,Yes,Yes,Yes,Yes,296,3.5,$$
N/A,"Mon, Fri, Sun",Dive Bars,No,Yes,The Local,Astoria,Yes,Street,(917) 832-6797,No,Yes,N/A,Yes,43,4.5,$
N/A,Thu,Dance Clubs,Yes,Yes,LivePlayLove,Astoria,Yes,"Garage, Street",(646) 606-3689,Yes,Yes,No,Yes,1,5,$$
Casual,N/A,Bars,N/A,Yes,Rye House,Flatiron,No,Street,(212) 255-7260,Yes,Yes,N/A,Yes,434,3.5,$$
Casual,"Wed, Thu, Sun",Bars,No,N/A,The Hideaway,TriBeCa,No,Street,(212) 334-5775,No,Yes,N/A,Yes,93,3.5,$$
N/A,Mon,Wine Bars,No,Yes,Vanguard Wine Bar,"Upper East Side, Yorkville",No,N/A,(212) 288-9463,No,No,N/A,Yes,31,4,$$
N/A,Sat,Pubs,Yes,Yes,The Commissioner,Park Slope,No,N/A,(347) 689-3968,No,Yes,N/A,Yes,108,5,$
N/A,N/A,Bars,N/A,Yes,Bar D’eau,South Village,Yes,"Valet, Garage, Street",(212) 842-5500,Yes,Yes,Yes,Yes,21,3,$$$$
Casual,N/A,Tapas/Small Plates,No,Yes,The Tuck Room,South Street Seaport,No,Street,(212) 776-8273,Yes,Yes,N/A,Yes,189,4,$$$
N/A,N/A,Cocktail Bars,N/A,Yes,Adriaen Block,"Steinway, Astoria",Yes,N/A,(718) 606-1391,No,Yes,Yes,Yes,16,3.5,$$
N/A,N/A,Bars,N/A,N/A,The Crow’s Nest,"Kips Bay, Stuyvesant Town",Yes,"Valet, Private Lot",(212) 545-1155,N/A,No,N/A,Yes,27,3.5,$$
N/A,N/A,Cocktail Bars,N/A,N/A,Blue Quarter,East Village,N/A,N/A,(212) 432-2232,No,N/A,N/A,Yes,12,4.5,$$$
N/A,"Thu, Fri, Sat",Lounges,No,Yes,Art Bar,West Village,No,Street,(212) 727-0244,No,Yes,N/A,Yes,465,3.5,$$
Casual,Thu,Wine Bars,No,Yes,Somm Time,Midtown East,Yes,N/A,(212) 888-7404,Yes,Yes,Yes,Yes,67,4.5,$$
Casual,Sat,Seafood,No,No,Simon & The Whale,"Flatiron, Kips Bay",No,Street,(212) 475-1924,Yes,No,Yes,Yes,89,4,$$
N/A,N/A,Lounges,Yes,Yes,Sweet & Vicious,Nolita,Yes,Street,(212) 334-7915,No,Yes,N/A,Yes,515,3,$$
N/A,N/A,Lounges,Yes,N/A,Tropical 128,Little Italy,No,Street,(212) 925-8219,No,Yes,N/A,Yes,171,3.5,$
Casual,N/A,Venues & Event Spaces,N/A,Yes,W XYZ Bar,Harlem,Yes,Street,(212) 749-4000,No,Yes,N/A,Yes,37,3.5,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,The Back Room,Lower East Side,No,Street,(212) 228-5098,Yes,No,N/A,Yes,781,3.5,$$
Casual,"Thu, Fri, Sat",Wine Bars,No,N/A,Ten Degrees Bar,"East Village, Alphabet City",No,Street,(212) 358-8600,Yes,Yes,N/A,Yes,807,4,$$
N/A,N/A,Wine Bars,Yes,N/A,Von,NoHo,No,Street,(212) 473-3039,No,No,N/A,Yes,300,3.5,$$
Casual,"Tue, Thu, Fri",Pubs,No,N/A,Flight 151,Chelsea,No,Street,(212) 229-1868,No,Yes,N/A,Yes,233,3.5,$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Bar Sardine,West Village,No,Street,(646) 360-3705,No,No,N/A,Yes,195,4,$$
N/A,N/A,Pubs,Yes,Yes,The Hairy Lemon Pub,"Alphabet City, East Village",No,N/A,(646) 869-2151,Yes,Yes,N/A,Yes,39,4.5,$
N/A,"Tue, Fri, Sat",Lounges,No,N/A,Pouring Ribbons,"Alphabet City, East Village",No,Street,(917) 656-6788,No,No,N/A,Yes,356,4,$$$
N/A,N/A,Pubs,N/A,Yes,McSwiggan’s Bar,Gramercy,No,Street,(212) 683-3180,No,Yes,N/A,Yes,72,3.5,$
Casual,N/A,Irish,No,Yes,Bayard’s Ale House,"Yorkville, Upper East Side",No,N/A,(212) 879-1500,No,Yes,N/A,Yes,42,3.5,$$
Casual,"Thu, Fri, Sat",American (Traditional),No,N/A,The Gin Mill,Upper West Side,Yes,Street,(212) 580-9080,No,Yes,N/A,Yes,357,3.5,$$
Casual,"Thu, Fri, Sat",Pubs,N/A,Yes,The Full Shilling,Financial District,No,Street,(212) 422-3855,Yes,Yes,N/A,Yes,78,3.5,$$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Bondurants,"Yorkville, Upper East Side",No,Street,(212) 249-1509,No,Yes,Yes,Yes,435,4,$$
N/A,N/A,Irish Pub,No,Yes,Jack Jones Bar,Astoria,No,Street,(929) 424-3180,No,No,Yes,Yes,14,5,$$
N/A,N/A,American (New),No,No,Amused,Upper West Side,No,Garage,(347) 298-8200,No,No,Yes,No,31,4.5,$$
N/A,"Tue, Wed, Thu",Bars,Yes,Yes,Birdy’s,Bushwick,No,Street,(347) 365-2677,No,No,N/A,No,48,4,$
Casual,"Wed, Fri, Sat",Lounges,No,N/A,Haven Rooftop,"Theater District, Midtown West",Yes,"Garage, Street",(212) 466-9000,Yes,Yes,N/A,Yes,498,3,$$
Casual,N/A,Wine Bars,No,Yes,Da Capo,East Harlem,Yes,Street,(646) 707-0684,Yes,No,Yes,Yes,171,4.5,$$
N/A,N/A,Wine Bars,No,Yes,Narcbar,East Village,Yes,N/A,(212) 441-3555,Yes,No,N/A,Yes,14,4,$$
N/A,"Thu, Fri, Sat",Lounges,No,No,Mr. Purple,Lower East Side,Yes,N/A,(212) 237-1790,Yes,No,Yes,Yes,405,3,$$$
N/A,N/A,Pubs,N/A,N/A,Burp Castle,East Village,Yes,Street,(212) 982-4576,No,No,N/A,Yes,534,4,$$
N/A,N/A,Wine Bars,No,Yes,Vin Sur Vingt,Upper West Side,Yes,N/A,(646) 895-9944,Yes,No,N/A,Yes,37,4.5,$$
N/A,"Fri, Sat, Sun",Pubs,No,N/A,Finnerty’s,East Village,No,Street,(212) 677-2655,No,Yes,N/A,Yes,332,4,$
N/A,"Thu, Fri, Sat",Sports Bars,No,Yes,Plug Uglies,Gramercy,No,N/A,(212) 780-1944,No,Yes,N/A,Yes,32,3.5,$$
N/A,"Thu, Fri, Sat",Irish Pub,No,N/A,The Irish American,Financial District,No,Street,(646) 414-6223,Yes,Yes,N/A,Yes,222,3.5,$$
Casual,N/A,Seafood,N/A,N/A,Bar Belly,"Chinatown, Lower East Side",No,Street,(917) 488-0943,Yes,No,N/A,Yes,145,3.5,$$
Casual,"Fri, Sat, Sun",American (Traditional),No,N/A,Molly’s,Gramercy,No,Street,(212) 889-3361,No,Yes,N/A,Yes,482,4,$$
N/A,"Wed, Fri, Sat",Dive Bars,No,Yes,Milano’s Bar,Nolita,No,Street,(212) 226-8844,No,Yes,N/A,Yes,150,4,$
N/A,N/A,Cocktail Bars,N/A,No,River Lounge,South Street Seaport,Yes,N/A,(212) 732-8257,N/A,N/A,N/A,Yes,14,4,$$$
Casual,"Thu, Fri, Sat",American (Traditional),N/A,Yes,Dark Horse,"Civic Center, TriBeCa",No,"Garage, Street",(212) 608-3900,Yes,Yes,N/A,Yes,373,4,$$
N/A,"Thu, Fri, Sat",Bars,N/A,Yes,Shrine,Harlem,Yes,Street,(212) 690-7807,Yes,Yes,N/A,Yes,229,4,$$
N/A,N/A,Cocktail Bars,Yes,No,The Seville,"Flatiron, Midtown East",No,N/A,(212) 226-2833,Yes,No,Yes,Yes,31,3.5,$$
Casual,"Thu, Fri, Sat",Pubs,No,N/A,The Storehouse,Flatiron,No,Street,(212) 243-8898,N/A,Yes,N/A,Yes,143,3.5,$$
Casual,"Mon, Sat, Sun",Bars,No,Yes,The Copper Still,East Village,Yes,N/A,(212) 510-8469,Yes,Yes,Yes,Yes,145,4,$$
Casual,"Tue, Fri, Sat",Gastropubs,No,Yes,Fools Gold NYC,Lower East Side,No,N/A,(212) 673-2337,Yes,Yes,N/A,Yes,269,4,$$
N/A,N/A,Cocktail Bars,N/A,N/A,The Hidden Pearl,Greenpoint,N/A,N/A,(718) 383-3291,Yes,N/A,N/A,Yes,15,4.5,$$
Dressy,N/A,American (Traditional),N/A,N/A,Aretsky’s Patroon,Midtown East,Yes,Street,(212) 883-7373,Yes,Yes,N/A,Yes,200,4,$$$
Casual,"Thu, Fri, Sat",Wine Bars,No,N/A,Anfora,West Village,No,Street,(212) 518-2722,No,No,N/A,Yes,152,4,$$
Casual,N/A,Wine Bars,N/A,Yes,YN,Nolita,No,Street,(212) 226-3330,No,No,Yes,Yes,179,4,$$
N/A,"Thu, Fri, Sat",Dive Bars,N/A,Yes,Nancy Whiskey Pub,TriBeCa,No,Street,(212) 226-9943,No,Yes,N/A,Yes,196,3.5,$
N/A,"Tue, Wed, Sat",Dive Bars,No,Yes,Rusty Knot,West Village,No,Street,(212) 645-5668,No,Yes,Yes,Yes,244,3.5,$$
N/A,"Tue, Wed, Sun",Irish Pub,N/A,Yes,11th Street Bar,"East Village, Alphabet City",No,Street,(212) 982-3929,Yes,Yes,Yes,Yes,131,4,$
N/A,"Thu, Fri, Sat",Pubs,Yes,Yes,Maggie Mae’s,Sunnyside,No,Street,(718) 433-3067,No,Yes,N/A,Yes,113,4.5,$$
N/A,N/A,Bars,N/A,Yes,"Floyd, NY","Cobble Hill, Brooklyn Heights",No,Street,(718) 858-5810,No,Yes,N/A,Yes,200,4,$
N/A,"Fri, Sat, Sun",Bars,No,N/A,The Duplex,West Village,Yes,Street,(212) 255-5438,No,No,N/A,Yes,267,3.5,$$
N/A,"Thu, Fri, Sat",Cocktail Bars,Yes,N/A,Dream Baby,"East Village, Alphabet City",No,Street,(646) 807-3754,Yes,No,N/A,Yes,105,4,$$
N/A,N/A,Wine Bars,N/A,N/A,The Fitting Room,Lower East Side,N/A,N/A,(212) 804-8088,Yes,N/A,N/A,N/A,2,5,$$
N/A,N/A,Bars,N/A,N/A,Primo’s,TriBeCa,N/A,N/A,(917) 512-3432,Yes,N/A,N/A,Yes,2,4,$$$
Casual,N/A,Tapas Bars,N/A,Yes,El Kallejon,East Harlem,No,Street,(646) 649-4795,Yes,Yes,No,Yes,231,4.5,$$
Casual,"Thu, Fri, Sat",American (New),No,Yes,Union Bar & Kitchen,South Village,Yes,Street,(646) 791-0005,Yes,Yes,Yes,Yes,287,4,$$
N/A,N/A,Pubs,No,Yes,The Whiskey Rebel,"Kips Bay, Flatiron",No,Street,(212) 686-3800,Yes,Yes,N/A,Yes,105,3.5,$$
N/A,"Thu, Fri, Sat",Lounges,No,N/A,Rose Bar,"Gramercy, Flatiron",No,"Valet, Street",(212) 920-3300,Yes,No,N/A,Yes,286,3.5,$$$
N/A,"Thu, Fri, Sat",Dive Bars,No,Yes,Lucky,"East Village, Alphabet City",Yes,N/A,(212) 777-3111,Yes,No,Yes,Yes,39,3.5,$
Casual,"Tue, Thu, Fri",Bars,No,N/A,Overlook,Midtown East,Yes,Street,(212) 682-7266,Yes,Yes,N/A,Yes,233,3.5,$$
N/A,N/A,Pubs,N/A,Yes,Mona’s,"East Village, Alphabet City",No,Street,(212) 353-3780,No,Yes,N/A,Yes,92,4,$
Casual,N/A,Cafes,No,No,La Mercerie,"SoHo, TriBeCa",No,Street,(212) 852-9097,Yes,No,Yes,Yes,68,3,$$
Casual,"Fri, Sat",Bars,No,Yes,The Roost,"East Village, Alphabet City",No,Street,(646) 918-6700,No,Yes,N/A,Yes,126,4,$
Casual,N/A,Tacos,No,Yes,Flats Fix,Flatiron,No,Street,(212) 353-2400,No,Yes,N/A,Yes,44,4,$$
Casual,N/A,American (New),No,No,The Loyal,West Village,No,Street,(212) 488-5800,Yes,No,N/A,Yes,103,4,$$
Casual,"Fri, Sat",Bars,No,Yes,The Beast Next Door,Long Island City,No,Street,(718) 482-7507,Yes,No,N/A,Yes,144,4.5,$$
Casual,"Thu, Fri, Sat",Dive Bars,N/A,N/A,Jeremy’s Ale House,"South Street Seaport, Financial District",Yes,Street,(212) 964-3537,No,Yes,N/A,Yes,257,4,$
Casual,N/A,Bars,No,Yes,Treadwell Park,Battery Park,Yes,N/A,(212) 945-0528,No,Yes,Yes,Yes,87,3.5,$$
Casual,N/A,Wine Bars,No,N/A,The Drunken Horse,Chelsea,No,Street,(212) 604-0505,No,No,N/A,Yes,106,4,$$
Casual,"Thu, Fri, Sat",American (Traditional),No,Yes,Boilermaker,East Village,No,Street,(212) 995-5400,No,Yes,N/A,Yes,209,4,$$
Casual,"Thu, Fri, Sat",Beer Gardens,No,Yes,West End Hall,Manhattan Valley,Yes,Street,(212) 662-7200,Yes,Yes,Yes,Yes,197,3.5,$$
N/A,N/A,Mediterranean,N/A,N/A,Cleo,Midtown East,N/A,N/A,(646) 948-2370,Yes,N/A,N/A,Yes,31,4,$$$
N/A,N/A,Lounges,N/A,N/A,The Spring Lounge,Nolita,No,Street,(212) 965-1774,No,Yes,N/A,Yes,227,3.5,$$
N/A,N/A,Karaoke,N/A,N/A,Baby Grand,SoHo,No,Street,(212) 219-8110,No,No,N/A,Yes,177,4,$$
N/A,Fri,Cocktail Bars,No,No,St. Cloud,"Theater District, Midtown West",Yes,Valet,(212) 204-4980,Yes,No,Yes,Yes,63,3,$$$
N/A,N/A,Cocktail Bars,No,No,The Bar Room,Financial District,No,N/A,(212) 658-1848,No,No,Yes,Yes,27,3.5,$$$
N/A,N/A,Lounges,N/A,Yes,Top of the Strand,Midtown West,Yes,Street,(646) 368-6426,No,Yes,N/A,Yes,157,3.5,$$
Casual,"Thu, Fri, Sat",Sports Bars,No,Yes,Proper West,Midtown West,No,"Garage, Street",(212) 997-9000,Yes,Yes,Yes,Yes,278,3.5,$$
